"","report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl","date","year"
"1","500436","2015-01-01 01:35:00","712",100,"E","SAN YSIDRO","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS",1,0,"",2015-01-01,"2015"
"2","500429","2015-01-01 02:30:00","813",4600," ","30TH","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS",1,0,"MISDEMEANOR",2015-01-01,"2015"
"3","500109","2015-01-01 03:00:00","451",5500," ","GRAPE","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS",1,0,"",2015-01-01,"2015"
"4","500216","2015-01-01 03:00:00","451",5500," ","GRAPE","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS",1,0,"",2015-01-01,"2015"
"5","500061","2015-01-01 06:20:00","833",3700," ","CHAMOUNE","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS",1,0,"",2015-01-01,"2015"
"6","500062","2015-01-01 15:40:00","527",1400," ","PACIFIC","HIGHWAY"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS",1,0,"",2015-01-01,"2015"
"7","500023","2015-01-01 16:54:00","113",4000," ","CLAIREMONT","DRIVE"," "," "," ","21804","VC","ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY",1,0,"",2015-01-01,"2015"
"8","500000","2015-01-01 17:37:00","112",4600," ","GENESEE","AVENUE"," "," "," ","21955","VC","CROSSING BETWEEN CONTROLLED INTERSECTIONS",1,0,"MISDEMEANOR",2015-01-01,"2015"
"9","500022","2015-01-01 18:55:00","116",5100," ","FIELD","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS",1,0,"",2015-01-01,"2015"
"10","500083","2015-01-01 22:00:00","828",0," ","EUCLID","AVENUE"," ","UNIVERSITY","AVENUE","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS",1,0,"MISDEMEANOR",2015-01-01,"2015"
"11","500082","2015-01-01 22:30:00","451",3300," ","54TH","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS",2,0,"MISDEMEANOR",2015-01-01,"2015"
"12","500059","2015-01-02 08:30:00","626",1700,"W","WASHINGTON","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS",1,0,"",2015-01-02,"2015"
